"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2018","","","","10309.448843"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2020","","","","8475.755899"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2021","","","","11290.915071"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2022","","","","12690.7128"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2023","","","","10916.288598"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2024","","","","12078.255985"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2019","","","","9447.064558"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M09","September","M","Monthly","USM","Million US dollar","2025","","","","12232.551515"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2019","","","","10060.503808"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2017","","","","9019.392981"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2024","","","","12683.844574"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2023","","","","11415.930513"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2022","","","","11665.240307"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2021","","","","11013.902742"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2020","","","","8521.54478"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M10","October","M","Monthly","USM","Million US dollar","2018","","","","11025.917581"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M11","November","M","Monthly","USM","Million US dollar","2018","","","","10067.489998"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M11","November","M","Monthly","USM","Million US dollar","2017","","","","9394.972354"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M11","November","M","Monthly","USM","Million US dollar","2020","","","","7985.80186"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M11","November","M","Monthly","USM","Million US dollar","2021","","","","11601.308855"
"Merchandise trade values","ITS_MTV_MM","Total merchandise imports - monthly","608","PHL","Philippines","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","M11","November","M","Monthly","USM","Million US dollar","2022","","","","11480.929381"
